Frames,Pixel Count
KNN,112896
GMG,0
CNT,112896
MOG,0
MOG2,112896
KNN,112896
GMG,0
CNT,112896
MOG,597
MOG2,4050
KNN,112810
GMG,0
CNT,112896
MOG,953
MOG2,4846
KNN,112797
GMG,0
CNT,112896
MOG,960
MOG2,2909
KNN,6869
GMG,0
CNT,112896
MOG,924
MOG2,2816
KNN,6038
GMG,0
CNT,112896
MOG,1192
MOG2,4116
KNN,6358
GMG,0
CNT,112896
MOG,1198
MOG2,3470
KNN,5758
GMG,0
CNT,112896
MOG,1148
MOG2,2851
KNN,5248
GMG,0
CNT,112896
MOG,1129
MOG2,2511
KNN,4925
GMG,0
CNT,112896
MOG,1186
MOG2,2694
KNN,5388
GMG,0
CNT,112896
MOG,1230
MOG2,2939
KNN,5403
GMG,0
CNT,112896
MOG,1132
MOG2,2786
KNN,5606
GMG,0
CNT,112896
MOG,1228
MOG2,3023
KNN,5665
GMG,0
CNT,112896
MOG,1220
MOG2,2877
KNN,5707
GMG,0
CNT,112896
MOG,1223
MOG2,2565
KNN,5741
GMG,0
CNT,6863
MOG,1249
MOG2,3553
KNN,5769
GMG,0
CNT,7012
MOG,1206
MOG2,4408
KNN,5428
GMG,0
CNT,6937
MOG,1176
MOG2,4312
KNN,5392
GMG,0
CNT,6955
MOG,1231
MOG2,3244
KNN,5260
GMG,0
CNT,6821
MOG,1197
MOG2,3251
KNN,5143
GMG,0
CNT,6822
MOG,1168
MOG2,3509
KNN,5371
GMG,0
CNT,6707
MOG,1156
MOG2,3731
KNN,5323
GMG,0
CNT,6649
MOG,1148
MOG2,3876
KNN,5279
GMG,0
CNT,6559
MOG,1164
MOG2,3720
KNN,5317
GMG,0
CNT,6541
MOG,1220
MOG2,3812
KNN,5250
GMG,0
CNT,6482
MOG,1212
MOG2,3949
KNN,5168
GMG,0
CNT,6438
MOG,1218
MOG2,3780
KNN,5131
GMG,0
CNT,6367
MOG,1166
MOG2,3860
KNN,4978
GMG,0
CNT,6300
MOG,1196
MOG2,3823
KNN,4943
GMG,0
CNT,6255
MOG,1209
MOG2,3897
KNN,4914
GMG,0
CNT,6224
MOG,1198
MOG2,4231
KNN,5089
GMG,0
CNT,6179
MOG,1269
MOG2,4309
KNN,4998
GMG,0
CNT,6164
MOG,1284
MOG2,4329
KNN,4907
GMG,0
CNT,6136
MOG,1234
MOG2,4362
KNN,4802
GMG,0
CNT,6109
MOG,1264
MOG2,4221
KNN,4781
GMG,0
CNT,6024
MOG,1278
MOG2,4327
KNN,4710
GMG,0
CNT,5964
MOG,1257
MOG2,4440
KNN,4750
GMG,0
CNT,5909
MOG,1321
MOG2,4328
KNN,4728
GMG,0
CNT,5864
MOG,1312
MOG2,4400
KNN,4724
GMG,0
CNT,5825
MOG,1296
MOG2,4317
KNN,4778
GMG,0
CNT,5726
MOG,1287
MOG2,4303
KNN,4798
GMG,0
CNT,5693
MOG,1333
MOG2,4355
KNN,4790
GMG,0
CNT,5622
MOG,1383
MOG2,4487
KNN,4846
GMG,0
CNT,5572
MOG,1436
MOG2,4661
KNN,4858
GMG,0
CNT,5529
MOG,1400
MOG2,4617
KNN,4970
GMG,0
CNT,5460
MOG,1398
MOG2,5001
KNN,4913
GMG,0
CNT,5415
MOG,1380
MOG2,4953
KNN,4909
GMG,0
CNT,5373
MOG,1360
MOG2,4811
KNN,4847
GMG,0
CNT,5268
MOG,1294
MOG2,4735
KNN,4811
GMG,0
CNT,5204
MOG,1286
MOG2,4689
KNN,4801
GMG,0
CNT,5194
MOG,1316
MOG2,4825
KNN,4920
GMG,0
CNT,5178
MOG,1343
MOG2,4904
KNN,4811
GMG,0
CNT,5100
MOG,1282
MOG2,4661
KNN,4739
GMG,0
CNT,5023
MOG,1272
MOG2,4536
KNN,4699
GMG,0
CNT,4927
MOG,1295
MOG2,4416
KNN,4635
GMG,0
CNT,4850
MOG,1291
MOG2,4489
KNN,4591
GMG,0
CNT,4887
MOG,1330
MOG2,4359
KNN,4598
GMG,0
CNT,4872
MOG,1356
MOG2,4460
KNN,4509
GMG,0
CNT,4818
MOG,1297
MOG2,4490
KNN,4510
GMG,0
CNT,4791
MOG,1273
MOG2,4435
KNN,4458
GMG,0
CNT,4836
MOG,1359
MOG2,4596
KNN,4491
GMG,0
CNT,4832
MOG,1367
MOG2,4825
KNN,4400
GMG,0
CNT,4715
MOG,1313
MOG2,4740
KNN,4369
GMG,0
CNT,4665
MOG,1257
MOG2,4700
KNN,4364
GMG,0
CNT,4576
MOG,1211
MOG2,4539
KNN,4358
GMG,0
CNT,4600
MOG,1201
MOG2,4544
KNN,4242
GMG,0
CNT,4519
MOG,1209
MOG2,4484
KNN,4248
GMG,0
CNT,4450
MOG,1150
MOG2,4549
KNN,4157
GMG,0
CNT,4360
MOG,1131
MOG2,4423
KNN,4187
GMG,0
CNT,4336
MOG,1167
MOG2,4334
KNN,4063
GMG,0
CNT,4242
MOG,1148
MOG2,4183
KNN,4000
GMG,0
CNT,4162
MOG,1125
MOG2,4244
KNN,4020
GMG,0
CNT,4091
MOG,1102
MOG2,4194
KNN,3939
GMG,0
CNT,4047
MOG,1111
MOG2,4155
KNN,3903
GMG,0
CNT,3995
MOG,1126
MOG2,3903
KNN,3950
GMG,0
CNT,3875
MOG,1044
MOG2,4073
KNN,3817
GMG,0
CNT,3804
MOG,1043
MOG2,3983
KNN,3838
GMG,0
CNT,3769
MOG,1039
MOG2,3994
KNN,3798
GMG,0
CNT,3736
MOG,1000
MOG2,3985
KNN,3783
GMG,0
CNT,3703
MOG,1057
MOG2,3954
KNN,3779
GMG,0
CNT,3710
MOG,1095
MOG2,3979
KNN,3922
GMG,0
CNT,3746
MOG,1171
MOG2,4230
KNN,3892
GMG,0
CNT,3745
MOG,1203
MOG2,4264
KNN,3910
GMG,0
CNT,3705
MOG,1186
MOG2,4239
KNN,3881
GMG,0
CNT,3677
MOG,1201
MOG2,4328
KNN,3900
GMG,0
CNT,3682
MOG,1205
MOG2,4285
KNN,3893
GMG,0
CNT,3660
MOG,1270
MOG2,4349
KNN,3952
